%% The GBI values are based on the following publication: 
%% Hanna, E., Cropper, T.E., Hall, R.J. and Cappelen, J., Greenland Blocking
%% Index 1851-2015: a regional climate change signal. Int. J. Climatol., 36,
%% 4847-4861, https://doi.org/10.1002/joc.4673, 2016.
Year,annual,winter,spring,summer,fall
1992,-0.74,-0.96,-1.31,-0.91,0.15
1993,-0.17,-1.13,-0.25,0.94,-0.39
1994,-0.31,-0.31,-0.29,-1.09,0.53
1995,0.39,-0.63,0.85,0.13,0.60
1996,0.32,0.42,0.81,-0.70,0.54
1997,0.05,0.04,0.09,0.04,0.52
1998,0.67,0.18,0.55,1.06,1.07
1999,-0.08,-0.25,0.53,-0.35,-0.25
2000,0.19,-0.48,0.05,0.60,0.03
2001,0.37,0.34,0.61,0.29,0.10
2002,0.13,0.11,-0.32,-0.03,1.12
2003,0.41,0.25,-0.21,0.85,0.77
2004,0.27,0.72,0.04,0.22,0.77
2005,0.66,-0.14,1.25,0.38,0.57
2006,0.54,0.32,0.83,0.33,0.99
2007,0.30,0.20,-0.57,1.55,0.10
2008,0.52,-0.59,1.19,1.42,-0.04
2009,0.50,0.13,-0.40,1.43,-0.17
2010,1.69,2.12,1.52,1.37,1.49
2011,-0.24,1.20,-1.55,1.58,-0.61
